Berg Auto, Olav Ingstadsvei 3, 1351 RUD, espen@berg-auto.com,+47 67130727,https://bergauto.dacia.no
Autoria, Nygårdsveien 28-30, 1400 SKI, salg@torpauto.no,+47 64 97 26 55,http://www.autoria.no/
Motor Forum Asker, Alf Kristoffersens Vei 7, 1396 BILLINGSTAD, salg.asker@motorforum.no,+47 66 77 59 20,http://www.motorforum.no/forhandlere/asker/
Motor Forum Lillestrøm, Jogstadveien 19, 2007 KJELLER, salg.lillestrøm@motorforum.no,+47 66926700,http://www.motorforum.no/forhandlere/lillestrom/
Motor Forum Eidsvoll, Skinnstudumpa 4, 2072 DAL, salg.eidsvoll@motorforum.no,+47 63922900,http://www.motorforum.no/forhandlere/eidsvoll/
Motor Forum Jessheim, Energiveien 9, 2069 Jessheim, fm@motorforum.no,69 01 37 90,https://motorforum.no/forhandlere/jessheim/
Frydenbø Bilsenter AS, Saltverket 2, 4515 Mandal, salg.mandal@frydenbo.no,38260322&nbsp;,https://frydenbo-bilsenter.dacia.no/biler/duster/
Motor Forum Kristiansand, Barstølveien 30, 4636 KRISTIANSAND, salg.kristiansand@motorforum.no,+47 38041070,https://motorforum.no/forhandlere/kristiansand/
Bilplaneten, Sundrevegen 170, 3570 Ål, harald@bilplaneten.no,32086400,bilplaneten.dacia.no/al/biler/duster/
Bilco Hønefoss, Asbjørnsens gate 19, 3513 Hønefoss, torgrim@bilcohonefoss.no,32170570,bilco-honefoss.dacia.no/biler/duster/
Motor Forum Drammen, Ingvald Ludvigsensgt. 21, 3027 DRAMMEN, salg.drammen@motorforum.no,+47 32276190,http://www.motorforum.no/forhandlere/drammen/
Normaskin Tana, Grenvegen 2, 9845 Tana, morten@normaskin-tana.no,78 92 81 96,normaskintana.dacia.no/biler/duster/
Kongsbil AS, Industriveien 23, 2212 KONGSVINGER, post@kongsbil.no,+47 62 81 58 50,http://kongsbil.no/
Motor Forum Hamar, Vangsvei 91, 2317 HAMAR, salg.hamar@motorforum.no,+47 62598955,http://www.motorforum.no/forhandlere/hamar/
Motor Forum Elverum, Svartbekkvegen 52, 2411 ELVERUM, salg.elverum@motorforum.no,+47 62417450,http://www.motorforum.no/forhandlere/elverum/
Motor Forum Bergen avd. Åsane, Litleåsvegen 61, 5132 Nyborg, bergen@motorforum.no,55 52 60 00,https://www.motorforum.no/renault/?dealerId=35/
Kvinnherad Bil & Teknikk, Hellandsbrua, 5460 HUSNES, post@bilogteknikk.no,+47 53 48 48 48,http://www.bilogteknikk.no/
Motor Forum Bergen, Øvre Kråkenes 51, 5152 BØNES, salg.bergen@motorforum.no,+47 55526000,http://www.motorforum.no/forhandlere/bergen/
Årø Bilsenter, Årøhaugen 8, 6422 Molde, salg@arobil.no,71203400,arobil.dacia.no/biler/duster/
Motor Forum Ålesund, Brusdalsveien 206, 6003 ÅLESUND, salg.alesund@motorforum.no,+47 70140000,http://www.motorforum.no/forhandlere/alesund/
"Bil i Nord, Mosjøen", Nyrudvegen 3, 8657 MOSJØEN, geir.flostrand@bilinord.no,+47 75113990,https://bilinord.dacia.no/mosjoen/biler/duster/
